,Text,Label
0,Quick fox jumps nightly above wizard.,116
1,I find pleasure in solving puzzles.,83
2,Melodies have a calming effect on the mind.,88
3,"The celestial canopy glitters, stars casting their stories across the heavens.",38
4,Playing video games is something I love to do.,73
5,Leaves whisper as trees gently sway in the breeze's embrace.,35
6,The color of apples is red.,67
7,I enjoy spending time playing video games.,73
8,"Nature's chorus sings, birds filling the air with their harmonious melodies.",40
9,Pack my trunk with a multitude of beer barrels.,98
10,Physical activity benefits health.,79
11,Learning is a lifelong journey.,86
12,A sprightly fox jumps past the slothful dog.,97
13,All questions asked by five watch experts amazed the judge.,108
14,A quick movement of the enemy will jeopardize six gunboats.,107
15,"Flakes of snow fall softly, turning the world into a winter wonderland.",51
16,"The towering peaks stand stoically, keepers of secrets lost to time.",43
17,I want to travel the world.,76
18,"Waves gently lap at the shore, a never-ending dance of water and land.",37
19,The day is ending with the sunset.,82
20,The cat is peacefully asleep.,68
21,I find joy in discovering new information.,90
22,Coffee keeps me from feeling sleepy.,72
23,A swift brown fox leaps over an inactive dog.,97
24,I enjoy programming.,66
25,"Fantasies unfold, unfettered by the constraints of reality.",56
26,The possibilities in the world are endless.,89
27,How razorback-jumping frogs can level six piqued gymnasts!,99
28,In the world anything is possible.,89
29,The ocean whispers as waves gracefully embrace the shore.,37
30,Jinxed wizards pluck ivy from the big quilt.,105
31,The moon shines with brilliance.,74
32,The programming language Python is versatile.,69
33,Python is a popular choice among programmers.,69
34,My aspiration is to explore outer space.,87
35,"Birds twitter cheerfully, their songs blending into the ambient soundscape.",40
36,Exploring space is my ultimate goal.,87
37,Music brings peace to the soul.,88
38,"Stars gleam overhead, each one holding secrets in the depths of space.",38
39,Apples are red.,67
40,The meadow echoes with the laughter of children chasing butterflies.,36
41,"The mountains stand tall, silent witnesses to the passage of ages.",43
42,Music soothes the soul.,88
43,Solving puzzles brings me joy.,83
44,Store my container with fifty bottles of alcohol.,98
45,A clear sky is often blue.,65
46,Place my box with numerous containers of wine.,98
47,I find excitement in learning new things.,77
48,Reading books brings me joy.,70
49,Engaging in literature is a fantastic hobby.,85
50,I find pleasure in playing video games.,73
51,I enjoy solving puzzles.,83
52,I rely on coffee to stay alert.,72
53,A cup of coffee helps me stay awake.,72
54,"The garden blooms, a kaleidoscope of colors unfolding before the eyes.",47
55,SoLv3 !t iF Y0U c4n,41
56,There's always something new to learn.,86
57,Today is filled with sunshine.,71
58,Trees sway gently in the whispering breeze.,35
59,Crazy Frederick bought many very exquisite opal jewels.,106
60,Woven silk pyjamas exchanged for blue quartz.,104
61,Four big vowels sitting in a tree.,117
62,Losing myself in a good book is wonderful.,85
63,The cat is sleeping.,68
64,Endless possibilities exist in the world.,89
65,The moon beams brightly.,74
66,Discovering new things fills me with excitement.,77
67,The world offers limitless opportunities.,89
68,Six big devils from Japan quickly forgot how to waltz.,102
69,All questions asked by five watch experts amazed the judge.,121
70,"Birds sing, their melodies a symphony of nature.",40
71,"Constellations twinkle, weaving narratives in the midnight sky.",38
72,Reading is a great pastime.,85
73,The sky looks blue during the day.,65
74,I am passionate about puzzle-solving.,83
75,The feline is peacefully resting.,68
76,I find programming enjoyable,75
77,Physical fitness supports overall well-being.,79
78,"Flames flicker, casting shadows on the walls.",45
79,The weather is sunny today.,71
80,The five boxing wizards jump quickly.,101
81,Coffee enhances my coding productivity.,81
82,I have a strong desire to learn new things.,90
83,The sunset is happening.,82
84,I love to read in my free time.,85
85,"The fire crackles, its flickering flames creating a dance of light and shadow.",45
86,Mountain hiking refreshes me.,84
87,Joyful shouts ring out as children chase butterflies through the meadow.,36
88,Regular exercise is beneficial for health.,79
89,Heavy rainfall is occurring.,78
90,"Waves kiss the shore, a dance of eternal rhythm.",37
91,The sun is setting.,82
92,Writing code brings me joy.,66
93,"Majestic mountains rise, their peaks shrouded in enigmatic allure.",43
94,I love learning new things.,90
95,Reading is an enjoyable pastime.,85
96,"Morning light emerges, illuminating the sky with a golden glow.",33
97,Books are a source of knowledge.,80
98,Coding is my passion.,66
99,I love to code.,66
100,I find pleasure in reading books.,70
101,Grumpy wizards make a toxic brew for the jovial queen.,100
102,"The sun ascends, splashing the heavens with a palette of golden hues.",33
103,The world is brimming with opportunities.,89
104,"Stars twinkle, weaving stories in the velvet night.",38
105,SoLv3 !t iF Y0U c4n,41
106,The sun is going down.,82
107,The cat rests soundly.,68
108,The quick brown fox jumps over a lazy dog.,110
109,"Shadows twist and turn, following the whims of the flickering flames.",45
110,I love to read novels.,70
111,"The dawn chorus begins, birdsong filling the morning air with music.",40
112,"Dreams soar, boundless in the vast expanse of the mind.",56
113,Traveling worldwide is something I long for.,76
114,I am passionate about acquiring new knowledge.,90
115,5oLv3 !t iF Y0U c4n,41
116,My dream is to travel among the stars.,87
117,"The forest murmurs, trees swaying in the caress of the breeze.",35
118,The sky is blue.,65
119,"The sea kisses the sand, its rhythm a dance of eternity.",37
120,Today is a sunny day.,71
121,Exploring the globe is my desire.,76
122,"The air is filled with the melodious chirping of birds, a natural orchestra.",40
123,Exploring the mountains is energizing.,84
124,Coding is accompanied by coffee.,81
